event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
8024261-2,8024261,0x68784f338220457eca96e961dac4638399e4d8cedcd29a4d580f3863cd1838c8,2,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
8024241-2,8024241,0xd0440b9064cb79be53627d8370041624ae242c2f343da113d17e5542d9d6e9b3,2,council,Voted,DbF59HrqrrPh9L2Fi4EBd7gn4xFUSXmrE6zyMzf3pETXLvg
8024230-2,8024230,0x01b124b955e5c60c6ab30ac48603600190e4ee4080147eee3372d69f6052249c,2,council,Voted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
8024227-2,8024227,0x41eb2da989601b0e81847f9a9ec43389b880a02f9a2d396cbf4ff884f95e0d31,2,council,Voted,Etj64GQ5Mzm98HijdnvqjxMyK8xemPtLTpWdnwEiEvFygJa
8024217-2,8024217,0x29d6dd17720d684436b73e376277be820e98a2b6228cf589fdba9133f447d35e,2,council,Voted,CpjsLDC1JFyrhm3ftC9Gs4QoyrkHKhZKtK7YqGTRFtTafgp
8024198-2,8024198,0x2b69c3dceef5a561e1096cbf5386db29b88b5572dd7157ac7cc095340da1c0a1,2,council,Voted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
8024186-2,8024186,0x05f2b4a7248c6250430c415688181d3398abf9d9877a27b2efa608563ed618f2,2,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
7997670-2,7997670,0x35000c15fb4a27c3b51ca98c0b6fcc57941f1c75bb0d68f8b49ac93647e02db7,2,council,Closed,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997670-2,7997670,0x35000c15fb4a27c3b51ca98c0b6fcc57941f1c75bb0d68f8b49ac93647e02db7,2,council,Executed,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997670-2,7997670,0x35000c15fb4a27c3b51ca98c0b6fcc57941f1c75bb0d68f8b49ac93647e02db7,2,council,Approved,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997666-2,7997666,0x1c141efa35006e53301faed8a59e90dbc4ff89ad530f23f2964422c4da163d7e,2,council,Voted,Fa3N98oETbFcjTX3pCVdJ7gFCs5NgxDYPVw1gJiexLnF6rM
7997402-2,7997402,0xf8719e8f63d3f6a55c7fa59d9c6962c735ac7b8a1e6c3bac26701614f9f1fb7d,2,council,Approved,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997402-2,7997402,0xf8719e8f63d3f6a55c7fa59d9c6962c735ac7b8a1e6c3bac26701614f9f1fb7d,2,council,Closed,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997402-2,7997402,0xf8719e8f63d3f6a55c7fa59d9c6962c735ac7b8a1e6c3bac26701614f9f1fb7d,2,council,Executed,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997153-2,7997153,0xb8c7e89d18200b24040ff3bd505d19c5de004fe1519e4b289567da3a0f731a33,2,council,Voted,EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo
7997111-2,7997111,0xbd86e229054e3b30b5d9c37658f503b55a93179f58196237c11307249809e0ad,2,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7997147-2,7997147,0xb5370bc56c15c6dcbc7d2aac286e192c48f8308b9432ee9ac5b6c48db1ffcea3,2,council,Voted,EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo
7997067-2,7997067,0xae7a292024dfc06ba7a1ca71c40ebdded1077888cf2905c0b04daf4c76b28a2b,2,council,Voted,DbF59HrqrrPh9L2Fi4EBd7gn4xFUSXmrE6zyMzf3pETXLvg
7996996-2,7996996,0x497971c2e588836aedde57e76347076c629ee610e69aa873b4beeef2f0b13ada,2,council,Voted,GNdebyJH2tfL5SWB7Tf3ncGUKVqnMf9JQJ5bwrL4dK22XuE
7996994-2,7996994,0x339c9427da4ed5f46026dd4a4531013a4971e980f10e189e770375b2ef006804,2,council,Voted,GNdebyJH2tfL5SWB7Tf3ncGUKVqnMf9JQJ5bwrL4dK22XuE
7996993-2,7996993,0xd298e5315598bc1f726a352ab47c29670d9ead48ca8d68233912b316de6edc50,2,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
7996945-2,7996945,0xbff9da7973e2e58559f4e21ffa392a1d3d95c3bdd9a102c89d65d3e4121ceb39,2,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
7996922-2,7996922,0xff0a86335ea7a1e2db1f0f622493e638b185479bf5581858060a7430f5ba1421,2,council,Voted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
7996904-2,7996904,0x6e3a7454655aef19702e26a66f9e1c93293f5d5926ef4aae3aebda4a84901977,2,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
7996843-2,7996843,0xfdca7927a86a48e5da385f07c6158f47c9ad114dc92dd89ed163b7c7197a69df,2,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
7996383-6,7996383,0xc9cce0b8414ae4ac1734c6fcba6173c0ec35358b63a5fb9edd8ba64a1666d283,6,council,Voted,GoJ89MXptpNt1dH4NaZ73YtzknhrYeZcBJ33mifX5BMqoFz
7994646-2,7994646,0xf76a1d28a5aa3b7094e940e8d5c6439ddcd8b598e7bdd228e84b6b2611d983e7,2,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
7996184-4,7996184,0x0ba1775b797288e4aa9bb91fdabe7f2dd253599ccba1488ee7a1a32ae66e854e,4,council,Voted,HyBryanRsB1GGKa9ZfqvRc3XpTDipYyRvxNNyZYfWFcenhd
7992505-2,7992505,0xc70292aaaf6d7e082aed31df7bb8294a0d404fe961845b1aa0244daf668b446f,2,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
7990791-2,7990791,0xe456f689bf848d8665261c7ad66bc4f40a380afc500c777ee9a6094718c0d7a2,2,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
7985438-2,7985438,0xfe8f9c5207f7d30a79a839b5c04d8298f2a45a65e6de2f4e4e34ee86785fefa2,2,council,Voted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
7981694-2,7981694,0xf11c78d871a2fb726ac8cf2efa0a6874639282b10aaea2831681cfeb1e8d2a0d,2,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
7970862-2,7970862,0xd3e9b514e20317faaf4dec344c1e1c5d921bd38d19e852810e21c73df1df1338,2,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
7969914-2,7969914,0x8269806f0767d43b4015875557e18a944ed72349269de35a99ebc0c56b992409,2,council,Voted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
7969722-2,7969722,0x8760fbf566dab67a517f82dc1b04b7a00956a7cdd3cb668c1b8e3e427d714255,2,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
7927170-2,7927170,0x9f7b17b0be1c60ae2363e004648115f841535edd1db97fee13da6e710f07d945,2,council,Approved,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
7927170-2,7927170,0x9f7b17b0be1c60ae2363e004648115f841535edd1db97fee13da6e710f07d945,2,council,Executed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
7927170-2,7927170,0x9f7b17b0be1c60ae2363e004648115f841535edd1db97fee13da6e710f07d945,2,council,Closed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
