event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
6321306-1,6321306,0xc23d859bd1a5d37c320cb4a2f1facd1e42bdbf2238af53fcaaf549d777fe5720,1,democracy,PreimageNoted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
6268614-2,6268614,0x4d499fb277e44cd5ec45a3a18e1dbad4a1343d92081c04d86be1e83708b5e04d,2,democracy,Delegated,12Qy2A42cvzisKbuRg27GHaWCTL7KiKeFoUi96jbiZRXdcBY
6258094-1,6258094,0x5ab83c842daf509d513572a01778a3aea3cdb9c5d36c875c1709902350aaeeb7,1,democracy,Delegated,12Bxm1iBwwGuXNPvSKPyTMV2TNSKCTPQ3yTFEfEcFz5r2izN
6220219-1,6220219,0xdb739da632098674461ffa5fbc0e6a989c6b602c5d37a15adb18e1b92a61d726,1,democracy,Started,13gMCjbt1Vm4HAmj3zyZ9Q68qaFfbxcV6wNUJWTtyA9pVtzF
6217429-2,6217429,0xf158d187d1d821fe0c8f4707160179a675272f44b083a924ab88ace0b356612d,2,democracy,Delegated,14K2Cia9BYt84mDUsHs67Qg66niALWCvbsWNr3w39td2VFC6
6217342-1,6217342,0xa7eb6124e2567a40dcb46afaf9fa26da87ae421a8e107ca0e4103871e293f401,1,democracy,Delegated,14K2Cia9BYt84mDUsHs67Qg66niALWCvbsWNr3w39td2VFC6
6166266-1,6166266,0x1e9aa0aac925824aeea3b156a04098e3feec09c0deb05cd5f205d73cb2ffded4,1,democracy,Undelegated,13zbxAFA7Tp4yaJFE8rfCBJNSrAMMoifXJnwu65XdMZ1vLsQ
6104814-2,6104814,0x205673f288cf37e373e2d31a4295653e45898e6dfeae315be5398a5f2a78dbcf,2,democracy,Delegated,16AsMBmXZZozMczKidYzZC3UCZECpMxV5VmnShAWwuGrZEvv
6048000-0,6048000,,0,democracy,Tabled,
6075031-2,6075031,0xc5e18f4015b0175e6b3b6866e7aeff1d7b64786109ea00e7f3661c38f16256b4,2,democracy,Undelegated,13YMrJtStnWj55Sd1piuGaYLFYi3Dt1SQgYaPM6tjsTGw9mk
6048000-0,6048000,,0,democracy,Started,
6048000-0,6048000,,0,democracy,NotPassed,
5951129-1,5951129,0x258ecd94a6acfd618eee544e63521e28471e52727a331e9cdd3f6a1e62430af0,1,democracy,Delegated,14N5nJ4oR4Wj36DsBcPLh1JqjvrM2Uf23No2yc2ojjCvSC24
5885029-1,5885029,0xd976fe3c9ca1ce9499bf213e0440ee656685c8b78506d5436b87003c09c64580,1,democracy,Proposed,12BJTP99gUerdvBhPobiTvrWwRaj1i5eFHN9qx51JWgrBtmv
5885020-1,5885020,0x2e11481bb70ddffcd3bd71358bf83d13909468f06d875e54f93d0c09787c980f,1,democracy,PreimageNoted,12BJTP99gUerdvBhPobiTvrWwRaj1i5eFHN9qx51JWgrBtmv
5882394-3,5882394,0x4a8aa118312488b64639e65b0e6c6b00ed7d6c3989e56ab6dff7d31aa94f7afa,3,democracy,Delegated,142ATbFfudpaJCWPcaspykNokzBvmXuhno1oYVdhw9Dx5g57
5848957-2,5848957,0x85156456361f49a81c4fb6b95d750393d157670b9ded73ca5e368b1558309f40,2,democracy,Delegated,13zbxAFA7Tp4yaJFE8rfCBJNSrAMMoifXJnwu65XdMZ1vLsQ
